sequence,update_id,memory_id,version,operation,backend,event_persisted_at,backend_committed_at,rawerk_committed_at,checkpoint_committed_at,first_searchable,first_searchable_at,processing_attempt,status,is_duplicate
550,p53a_evt_000550,p53a_000550,550,update_relation,cassandra,33809.209,33839.956,33855.389,33855.9,True,33871.979,1,ok,False
551,p53a_evt_000551,p53a_000551,551,insert_memory,cassandra,33871.991,33904.394,33917.482,33917.926,True,33937.17,1,ok,False
552,p53a_evt_000552,p53a_000552,552,update_relation,cassandra,33937.181,33965.017,33979.997,33980.441,True,33999.352,1,ok,False
553,p53a_evt_000553,p53a_000553,553,insert_memory,cassandra,33999.363,34027.05,34043.089,34043.552,True,34057.441,1,ok,False
554,p53a_evt_000554,p53a_000554,554,insert_memory,cassandra,34057.453,34089.417,34103.65,34104.097,True,34120.592,1,ok,False
555,p53a_evt_000555,p53a_000555,555,insert_memory,cassandra,34120.604,34150.108,34163.258,34163.715,True,34181.232,1,ok,False
556,p53a_evt_000556,p53a_000556,556,insert_memory,cassandra,34181.244,34210.061,34229.255,34229.749,True,34247.825,1,ok,False
557,p53a_evt_000557,p53a_000557,557,insert_memory,cassandra,34247.836,34273.625,34288.333,34288.791,True,34303.86,1,ok,False
558,p53a_evt_000558,p53a_000558,558,insert_memory,cassandra,34303.873,34334.97,34349.898,34350.382,True,34365.048,1,ok,False
559,p53a_evt_000559,p53a_000559,559,update_relation,cassandra,34365.059,34395.818,34410.084,34410.577,True,34429.239,1,ok,False
560,p53a_evt_000560,p53a_000560,560,update_relation,cassandra,34429.251,34456.957,34471.516,34472.011,True,34487.226,1,ok,False
561,p53a_evt_000561,p53a_000561,561,insert_memory,cassandra,34487.237,34517.064,34531.039,34531.571,True,34548.043,1,ok,False
562,p53a_evt_000562,p53a_000562,562,insert_memory,cassandra,34548.053,34580.781,34595.615,34596.06,True,34613.841,1,ok,False
563,p53a_evt_000563,p53a_000563,563,insert_memory,cassandra,34613.865,34642.038,34656.777,34657.183,True,34673.479,1,ok,False
564,p53a_evt_000564,p53a_000564,564,insert_memory,cassandra,34673.49,34704.239,34718.329,34718.804,True,34735.284,1,ok,False
565,p53a_evt_000565,p53a_000565,565,insert_memory,cassandra,34735.296,34765.843,34780.136,34780.576,True,34797.483,1,ok,False
566,p53a_evt_000566,p53a_000566,566,insert_memory,cassandra,34797.494,34827.077,34842.533,34842.963,True,34859.801,1,ok,False
567,p53a_evt_000567,p53a_000567,567,insert_memory,cassandra,34859.812,34888.881,34906.714,34907.304,True,34919.028,1,ok,False
568,p53a_evt_000568,p53a_000568,568,insert_memory,cassandra,34919.046,34951.926,34964.975,34965.394,True,34983.053,1,ok,False
569,p53a_evt_000569,p53a_000569,569,insert_memory,cassandra,34983.096,35012.245,35026.836,35027.279,True,35042.152,1,ok,False
570,p53a_evt_000570,p53a_000570,570,insert_memory,cassandra,35042.163,35074.13,35088.738,35089.172,True,35105.354,1,ok,False
571,p53a_evt_000571,p53a_000571,571,insert_memory,cassandra,35105.365,35136.204,35151.71,35152.189,True,35167.796,1,ok,False
572,p53a_evt_000572,p53a_000572,572,insert_memory,cassandra,35167.808,35199.707,35213.905,35214.347,True,35233.923,1,ok,False
573,p53a_evt_000573,p53a_000573,573,update_relation,cassandra,35233.934,35261.907,35276.636,35277.035,True,35296.429,1,ok,False
574,p53a_evt_000574,p53a_000574,574,insert_memory,cassandra,35296.44,35326.02,35339.027,35339.484,True,35360.012,1,ok,False
575,p53a_evt_000575,p53a_000575,575,insert_memory,cassandra,35360.024,35386.004,35403.106,35403.529,True,35418.776,1,ok,False
576,p53a_evt_000576,p53a_000576,576,insert_memory,cassandra,35418.787,35447.591,35467.355,35467.792,True,35478.594,1,ok,False
577,p53a_evt_000577,p53a_000577,577,update_relation,cassandra,35478.604,35510.699,35523.729,35524.162,True,35541.392,1,ok,False
578,p53a_evt_000578,p53a_000578,578,insert_memory,cassandra,35541.409,35571.534,35584.94,35585.75,True,35603.391,1,ok,False
579,p53a_evt_000579,p53a_000579,579,replace_relation,cassandra,35603.4,35631.986,35647.168,35647.652,True,35663.479,1,ok,False
580,p53a_evt_000580,p53a_000580,580,insert_memory,cassandra,35663.49,35695.005,35711.443,35711.848,True,35725.556,1,ok,False
581,p53a_evt_000581,p53a_000581,581,insert_memory,cassandra,35725.566,35758.795,35771.269,35771.782,True,35788.031,1,ok,False
582,p53a_evt_000582,p53a_000582,582,update_relation,cassandra,35788.044,35818.355,35833.473,35833.974,True,35851.652,1,ok,False
583,p53a_evt_000583,p53a_000583,583,update_relation,cassandra,35851.663,35880.712,35896.589,35897.021,True,35912.442,1,ok,False
584,p53a_evt_000584,p53a_000584,584,update_relation,cassandra,35912.452,35946.897,35958.166,35958.772,True,35974.366,1,ok,False
585,p53a_evt_000585,p53a_000585,585,update_relation,cassandra,35974.379,36004.555,36020.472,36020.889,True,36035.995,1,ok,False
586,p53a_evt_000586,p53a_000586,586,insert_memory,cassandra,36036.004,36066.489,36084.242,36084.663,True,36099.661,1,ok,False
587,p53a_evt_000587,p53a_000587,587,insert_memory,cassandra,36099.683,36132.821,36150.44,36150.857,True,36163.058,1,ok,False
588,p53a_evt_000588,p53a_000588,588,insert_memory,cassandra,36163.067,36196.241,36210.44,36210.926,True,36226.667,1,ok,False
589,p53a_evt_000589,p53a_000589,589,insert_memory,cassandra,36226.678,36255.578,36272.359,36272.768,True,36286.627,1,ok,False
590,p53a_evt_000590,p53a_000590,590,insert_memory,cassandra,36286.638,36319.519,36333.192,36333.626,True,36351.949,1,ok,False
591,p53a_evt_000591,p53a_000591,591,update_relation,cassandra,36351.959,36387.607,36395.609,36396.013,True,36422.1,1,ok,False
592,p53a_evt_000592,p53a_000592,592,update_relation,cassandra,36422.115,36444.301,36458.061,36458.662,True,36475.464,1,ok,False
593,p53a_evt_000593,p53a_000593,593,insert_memory,cassandra,36475.481,36505.862,36520.359,36520.769,True,36536.19,1,ok,False
594,p53a_evt_000594,p53a_000594,594,insert_memory,cassandra,36536.199,36566.726,36581.0,36581.446,True,36598.334,1,ok,False
595,p53a_evt_000595,p53a_000595,595,insert_memory,cassandra,36598.374,36629.736,36644.272,36644.845,True,36662.401,1,ok,False
596,p53a_evt_000596,p53a_000596,596,insert_memory,cassandra,36662.42,36689.571,36704.63,36705.168,True,36721.268,1,ok,False
597,p53a_evt_000597,p53a_000597,597,insert_memory,cassandra,36721.281,36750.045,36764.063,36764.507,True,36780.747,1,ok,False
598,p53a_evt_000598,p53a_000598,598,replace_relation,cassandra,36780.767,36812.244,36826.187,36826.63,True,36841.876,1,ok,False
599,p53a_evt_000599,p53a_000599,599,insert_memory,cassandra,36841.886,36871.884,36887.444,36887.905,True,36903.309,1,ok,False
600,p53a_evt_000600,p53a_000600,600,insert_memory,cassandra,36903.32,36935.07,36949.941,36950.41,True,36965.966,1,ok,False
601,p53a_evt_000601,p53a_000601,601,insert_memory,cassandra,36982.035,37012.196,37028.241,37029.041,True,37045.15,1,ok,False
602,p53a_evt_000602,p53a_000602,602,update_relation,cassandra,37045.162,37076.492,37091.753,37092.19,True,37107.386,1,ok,False
603,p53a_evt_000603,p53a_000603,603,update_relation,cassandra,37107.398,37137.55,37153.022,37154.21,True,37171.337,1,ok,False
604,p53a_evt_000604,p53a_000604,604,insert_memory,cassandra,37171.346,37200.316,37215.771,37217.106,True,37231.594,1,ok,False
605,p53a_evt_000605,p53a_000605,605,replace_relation,cassandra,37231.604,37262.68,37277.098,37277.605,True,37294.807,1,ok,False
606,p53a_evt_000606,p53a_000606,606,insert_memory,cassandra,37294.825,37323.758,37338.747,37339.146,True,37354.771,1,ok,False
607,p53a_evt_000607,p53a_000607,607,insert_memory,cassandra,37354.783,37386.574,37397.891,37398.314,True,37414.26,1,ok,False
608,p53a_evt_000608,p53a_000608,608,insert_memory,cassandra,37414.271,37444.95,37459.313,37459.771,True,37474.926,1,ok,False
609,p53a_evt_000609,p53a_000609,609,insert_memory,cassandra,37474.962,37510.634,37520.519,37520.937,True,37538.081,1,ok,False
610,p53a_evt_000610,p53a_000610,610,update_relation,cassandra,37538.091,37567.446,37581.193,37581.649,True,37597.277,1,ok,False
611,p53a_evt_000611,p53a_000611,611,insert_memory,cassandra,37597.289,37627.856,37640.947,37641.377,True,37656.187,1,ok,False
612,p53a_evt_000612,p53a_000612,612,insert_memory,cassandra,37656.198,37685.556,37700.826,37701.249,True,37715.69,1,ok,False
613,p53a_evt_000613,p53a_000613,613,insert_memory,cassandra,37715.701,37745.349,37760.445,37760.926,True,37775.018,1,ok,False
614,p53a_evt_000614,p53a_000614,614,insert_memory,cassandra,37775.027,37804.647,37819.448,37819.876,True,37837.81,1,ok,False
615,p53a_evt_000615,p53a_000615,615,update_relation,cassandra,37837.821,37865.869,37880.2,37880.624,True,37893.362,1,ok,False
616,p53a_evt_000616,p53a_000616,616,update_relation,cassandra,37893.374,37923.329,37937.822,37938.25,True,37954.526,1,ok,False
617,p53a_evt_000617,p53a_000617,617,insert_memory,cassandra,37954.537,37986.249,38000.272,38000.689,True,38016.414,1,ok,False
618,p53a_evt_000618,p53a_000618,618,insert_memory,cassandra,38016.425,38045.445,38061.2,38061.618,True,38075.162,1,ok,False
619,p53a_evt_000619,p53a_000619,619,insert_memory,cassandra,38075.174,38105.844,38120.994,38121.398,True,38134.006,1,ok,False
620,p53a_evt_000620,p53a_000620,620,insert_memory,cassandra,38134.015,38163.212,38177.899,38178.312,True,38192.252,1,ok,False
621,p53a_evt_000621,p53a_000621,621,insert_memory,cassandra,38192.262,38225.85,38238.589,38239.017,True,38253.4,1,ok,False
622,p53a_evt_000622,p53a_000622,622,update_relation,cassandra,38253.411,38282.952,38295.611,38296.071,True,38315.599,1,ok,False
623,p53a_evt_000623,p53a_000623,623,update_relation,cassandra,38315.609,38343.613,38358.826,38359.24,True,38374.088,1,ok,False
624,p53a_evt_000624,p53a_000624,624,insert_memory,cassandra,38374.098,38402.506,38416.218,38416.672,True,38433.773,1,ok,False
625,p53a_evt_000625,p53a_000625,625,update_relation,cassandra,38433.782,38465.746,38479.321,38479.786,True,38494.571,1,ok,False
626,p53a_evt_000626,p53a_000626,626,update_relation,cassandra,38494.58,38523.561,38539.898,38540.318,True,38554.939,1,ok,False
627,p53a_evt_000627,p53a_000627,627,insert_memory,cassandra,38554.95,38586.108,38600.945,38601.407,True,38617.817,1,ok,False
628,p53a_evt_000628,p53a_000628,628,insert_memory,cassandra,38617.827,38644.767,38655.206,38655.65,True,38671.814,1,ok,False
629,p53a_evt_000629,p53a_000629,629,insert_memory,cassandra,38671.823,38709.164,38716.637,38717.037,True,38738.121,1,ok,False
630,p53a_evt_000630,p53a_000630,630,insert_memory,cassandra,38738.133,38763.967,38778.369,38778.79,True,38793.503,1,ok,False
631,p53a_evt_000631,p53a_000631,631,insert_memory,cassandra,38793.513,38823.511,38838.45,38838.971,True,38858.387,1,ok,False
632,p53a_evt_000632,p53a_000632,632,update_relation,cassandra,38858.398,38886.367,38901.024,38901.448,True,38917.354,1,ok,False
633,p53a_evt_000633,p53a_000633,633,update_relation,cassandra,38917.364,38949.143,38964.702,38965.11,True,38978.149,1,ok,False
634,p53a_evt_000634,p53a_000634,634,update_relation,cassandra,38978.16,39006.895,39021.227,39021.77,True,39038.98,1,ok,False
635,p53a_evt_000635,p53a_000635,635,insert_memory,cassandra,39038.991,39066.071,39079.76,39080.219,True,39095.48,1,ok,False
636,p53a_evt_000636,p53a_000636,636,insert_memory,cassandra,39095.49,39126.87,39139.695,39140.239,True,39156.159,1,ok,False
637,p53a_evt_000637,p53a_000637,637,update_relation,cassandra,39156.175,39187.837,39201.825,39202.243,True,39216.141,1,ok,False
638,p53a_evt_000638,p53a_000638,638,update_relation,cassandra,39216.151,39246.456,39260.451,39260.865,True,39274.954,1,ok,False
639,p53a_evt_000639,p53a_000639,639,insert_memory,cassandra,39274.965,39305.772,39320.18,39320.659,True,39335.487,1,ok,False
640,p53a_evt_000640,p53a_000640,640,insert_memory,cassandra,39335.497,39366.216,39380.967,39381.443,True,39400.732,1,ok,False
641,p53a_evt_000641,p53a_000641,641,insert_memory,cassandra,39400.744,43919.515,43924.041,43924.939,True,43939.821,1,ok,False
642,p53a_evt_000642,p53a_000642,642,replace_relation,cassandra,43939.843,43969.372,43985.409,43986.43,True,44002.274,1,ok,False
643,p53a_evt_000643,p53a_000643,643,update_relation,cassandra,44002.293,44032.708,44048.767,44049.588,True,44065.381,1,ok,False
644,p53a_evt_000644,p53a_000644,644,insert_memory,cassandra,44065.395,44095.098,44111.159,44111.93,True,44128.274,1,ok,False
645,p53a_evt_000645,p53a_000645,645,insert_memory,cassandra,44128.289,44156.902,44172.711,44173.531,True,44188.318,1,ok,False
646,p53a_evt_000646,p53a_000646,646,insert_memory,cassandra,44188.331,44219.091,44234.348,44235.509,True,44250.405,1,ok,False
647,p53a_evt_000647,p53a_000647,647,insert_memory,cassandra,44250.424,44281.717,44297.484,44298.125,True,44313.936,1,ok,False
648,p53a_evt_000648,p53a_000648,648,update_relation,cassandra,44313.956,44344.237,44359.068,44359.675,True,44375.776,1,ok,False
649,p53a_evt_000649,p53a_000649,649,replace_relation,cassandra,44375.8,44407.539,44420.742,44421.657,True,44437.198,1,ok,False
650,p53a_evt_000650,p53a_000650,650,insert_memory,cassandra,44437.248,44470.133,44484.319,44484.895,True,44499.751,1,ok,False
651,p53a_evt_000651,p53a_000651,651,update_relation,cassandra,44499.764,44531.303,44546.88,44547.772,True,44563.963,1,ok,False
652,p53a_evt_000652,p53a_000652,652,insert_memory,cassandra,44563.977,44594.682,44610.572,44611.185,True,44626.591,1,ok,False
653,p53a_evt_000653,p53a_000653,653,replace_relation,cassandra,44626.604,44658.594,44672.789,44673.209,True,44688.96,1,ok,False
654,p53a_evt_000654,p53a_000654,654,insert_memory,cassandra,44688.974,44719.676,44734.627,44735.118,True,44750.877,1,ok,False
655,p53a_evt_000655,p53a_000655,655,insert_memory,cassandra,44750.893,44781.541,44797.288,44798.518,True,44812.762,1,ok,False
656,p53a_evt_000656,p53a_000656,656,insert_memory,cassandra,44812.78,44844.369,44858.992,44859.477,True,44875.18,1,ok,False
657,p53a_evt_000657,p53a_000657,657,insert_memory,cassandra,44875.192,44906.141,44921.751,44922.674,True,44937.918,1,ok,False
658,p53a_evt_000658,p53a_000658,658,insert_memory,cassandra,44937.939,44969.898,44984.849,44985.324,True,45000.997,1,ok,False
659,p53a_evt_000659,p53a_000659,659,update_relation,cassandra,45001.021,45032.143,45047.261,45047.81,True,45063.94,1,ok,False
660,p53a_evt_000660,p53a_000660,660,insert_memory,cassandra,45063.953,45094.192,45110.39,45110.878,True,45125.927,1,ok,False
661,p53a_evt_000661,p53a_000661,661,insert_memory,cassandra,45125.938,45156.065,45171.949,45172.783,True,45187.745,1,ok,False
662,p53a_evt_000662,p53a_000662,662,insert_memory,cassandra,45187.758,45220.019,45233.994,45234.421,True,45250.144,1,ok,False
663,p53a_evt_000663,p53a_000663,663,insert_memory,cassandra,45250.155,45280.749,45295.22,45295.815,True,45311.134,1,ok,False
664,p53a_evt_000664,p53a_000664,664,insert_memory,cassandra,45311.147,45341.815,45356.078,45356.93,True,45373.146,1,ok,False
665,p53a_evt_000665,p53a_000665,665,insert_memory,cassandra,45373.166,45403.998,45418.952,45419.377,True,45434.23,1,ok,False
666,p53a_evt_000666,p53a_000666,666,update_relation,cassandra,45434.248,45464.806,45480.349,45481.071,True,45497.141,1,ok,False
667,p53a_evt_000667,p53a_000667,667,insert_memory,cassandra,45497.153,45526.886,45542.342,45542.781,True,45558.972,1,ok,False
668,p53a_evt_000668,p53a_000668,668,update_relation,cassandra,45558.984,45588.357,45604.096,45604.551,True,45619.254,1,ok,False
669,p53a_evt_000669,p53a_000669,669,insert_memory,cassandra,45619.265,45651.13,45667.288,45667.726,True,45684.351,1,ok,False
670,p53a_evt_000670,p53a_000670,670,update_relation,cassandra,45684.376,45714.529,45729.7,45730.141,True,45745.782,1,ok,False
671,p53a_evt_000671,p53a_000671,671,insert_memory,cassandra,45745.793,45776.719,45792.328,45792.857,True,45808.748,1,ok,False
672,p53a_evt_000672,p53a_000672,672,insert_memory,cassandra,45808.766,45839.798,45855.543,45856.009,True,45870.97,1,ok,False
673,p53a_evt_000673,p53a_000673,673,insert_memory,cassandra,45870.992,45901.152,45917.242,45918.001,True,45932.934,1,ok,False
674,p53a_evt_000674,p53a_000674,674,update_relation,cassandra,45932.986,45962.375,45977.402,45977.92,True,45996.258,1,ok,False
675,p53a_evt_000675,p53a_000675,675,update_relation,cassandra,45996.273,46029.763,46039.265,46039.745,True,46054.947,1,ok,False
676,p53a_evt_000676,p53a_000676,676,insert_memory,cassandra,46054.958,46086.362,46101.925,46102.375,True,46117.526,1,ok,False
677,p53a_evt_000677,p53a_000677,677,insert_memory,cassandra,46117.537,46146.727,46162.104,46163.147,True,46176.956,1,ok,False
678,p53a_evt_000678,p53a_000678,678,insert_memory,cassandra,46176.967,46208.569,46224.328,46224.77,True,46240.43,1,ok,False
679,p53a_evt_000679,p53a_000679,679,replace_relation,cassandra,46240.441,46270.934,46287.585,46288.017,True,46303.087,1,ok,False
680,p53a_evt_000680,p53a_000680,680,replace_relation,cassandra,46303.101,46332.062,46346.51,46346.958,True,46360.693,1,ok,False
681,p53a_evt_000681,p53a_000681,681,insert_memory,cassandra,46360.706,46388.99,46405.274,46405.724,True,46419.792,1,ok,False
682,p53a_evt_000682,p53a_000682,682,insert_memory,cassandra,46419.805,46450.069,46464.03,46464.655,True,46479.446,1,ok,False
683,p53a_evt_000683,p53a_000683,683,insert_memory,cassandra,46479.458,46509.775,46522.878,46523.384,True,46538.39,1,ok,False
684,p53a_evt_000684,p53a_000684,684,update_relation,cassandra,46538.402,46567.168,46582.52,46583.489,True,46596.418,1,ok,False
685,p53a_evt_000685,p53a_000685,685,insert_memory,cassandra,46596.43,46627.21,46640.241,46640.703,True,46657.515,1,ok,False
686,p53a_evt_000686,p53a_000686,686,replace_relation,cassandra,46657.534,46685.895,46700.119,46700.582,True,46715.879,1,ok,False
687,p53a_evt_000687,p53a_000687,687,insert_memory,cassandra,46715.889,46744.227,46758.888,46759.314,True,46773.861,1,ok,False
688,p53a_evt_000688,p53a_000688,688,update_relation,cassandra,46773.88,46802.677,46818.149,46818.609,True,46834.667,1,ok,False
689,p53a_evt_000689,p53a_000689,689,insert_memory,cassandra,46834.685,46861.617,46875.546,46876.035,True,46892.314,1,ok,False
690,p53a_evt_000690,p53a_000690,690,insert_memory,cassandra,46892.325,46920.873,46935.388,46935.807,True,46951.715,1,ok,False
691,p53a_evt_000691,p53a_000691,691,insert_memory,cassandra,46951.744,46982.614,46996.455,46996.954,True,47013.956,1,ok,False
692,p53a_evt_000692,p53a_000692,692,insert_memory,cassandra,47013.967,47043.593,47057.941,47058.361,True,47073.173,1,ok,False
693,p53a_evt_000693,p53a_000693,693,replace_relation,cassandra,47073.185,47102.614,47116.01,47116.463,True,47132.238,1,ok,False
694,p53a_evt_000694,p53a_000694,694,insert_memory,cassandra,47132.254,47160.285,47175.968,47176.402,True,47190.377,1,ok,False
695,p53a_evt_000695,p53a_000695,695,insert_memory,cassandra,47190.389,47218.285,47229.757,47230.217,True,47245.531,1,ok,False
696,p53a_evt_000696,p53a_000696,696,update_relation,cassandra,47245.54,47272.536,47289.579,47290.038,True,47303.714,1,ok,False
697,p53a_evt_000697,p53a_000697,697,insert_memory,cassandra,47303.724,47337.059,47351.547,47352.003,True,47365.188,1,ok,False
698,p53a_evt_000698,p53a_000698,698,insert_memory,cassandra,47365.207,47396.447,47412.821,47413.319,True,47429.503,1,ok,False
699,p53a_evt_000699,p53a_000699,699,insert_memory,cassandra,47429.52,47457.534,47468.563,47468.987,True,47483.121,1,ok,False
700,p53a_evt_000700,p53a_000700,700,update_relation,cassandra,47483.182,47513.786,47528.312,47528.769,True,47543.901,1,ok,False
701,p53a_evt_000701,p53a_000701,701,update_relation,cassandra,47543.912,47569.731,47582.577,47582.98,True,47600.179,1,ok,False
702,p53a_evt_000702,p53a_000702,702,update_relation,cassandra,47600.19,47624.884,47640.993,47641.497,True,47653.74,1,ok,False
703,p53a_evt_000703,p53a_000703,703,replace_relation,cassandra,47653.751,47679.968,47691.673,47692.119,True,47709.356,1,ok,False
704,p53a_evt_000704,p53a_000704,704,update_relation,cassandra,47709.368,47736.38,47752.702,47753.147,True,47769.203,1,ok,False
705,p53a_evt_000705,p53a_000705,705,insert_memory,cassandra,47769.212,47799.182,47811.643,47812.072,True,47825.462,1,ok,False
706,p53a_evt_000706,p53a_000706,706,insert_memory,cassandra,47825.504,47849.228,47863.162,47863.622,True,47875.908,1,ok,False
707,p53a_evt_000707,p53a_000707,707,insert_memory,cassandra,47875.919,47904.587,47912.439,47912.853,True,47925.178,1,ok,False
708,p53a_evt_000708,p53a_000708,708,replace_relation,cassandra,47925.195,47949.569,47962.1,47962.583,True,47977.491,1,ok,False
709,p53a_evt_000709,p53a_000709,709,insert_memory,cassandra,47977.501,48004.227,48020.488,48020.92,True,48033.935,1,ok,False
710,p53a_evt_000710,p53a_000710,710,insert_memory,cassandra,48033.944,48063.715,48078.174,48078.625,True,48092.963,1,ok,False
711,p53a_evt_000711,p53a_000711,711,insert_memory,cassandra,48092.987,48121.4,48137.038,48137.454,True,48151.286,1,ok,False
712,p53a_evt_000712,p53a_000712,712,update_relation,cassandra,48151.31,48184.316,48196.763,48197.236,True,48212.493,1,ok,False
713,p53a_evt_000713,p53a_000713,713,replace_relation,cassandra,48212.505,48241.919,48256.762,48257.198,True,48271.784,1,ok,False
714,p53a_evt_000714,p53a_000714,714,insert_memory,cassandra,48271.794,48301.728,48317.07,48317.491,True,48331.004,1,ok,False
715,p53a_evt_000715,p53a_000715,715,update_relation,cassandra,48331.02,48360.517,48374.374,48374.829,True,48390.377,1,ok,False
716,p53a_evt_000716,p53a_000716,716,insert_memory,cassandra,48390.389,48419.018,48434.053,48434.497,True,48448.842,1,ok,False
717,p53a_evt_000717,p53a_000717,717,update_relation,cassandra,48448.865,48478.977,48492.227,48492.715,True,48508.25,1,ok,False
718,p53a_evt_000718,p53a_000718,718,update_relation,cassandra,48508.26,48538.402,48553.627,48554.092,True,48570.208,1,ok,False
719,p53a_evt_000719,p53a_000719,719,update_relation,cassandra,48570.218,48598.906,48612.837,48613.316,True,48628.909,1,ok,False
720,p53a_evt_000720,p53a_000720,720,update_relation,cassandra,48628.92,48659.138,48673.68,48674.166,True,48688.798,1,ok,False
721,p53a_evt_000721,p53a_000721,721,insert_memory,cassandra,48688.81,48719.298,48733.741,48734.358,True,48748.957,1,ok,False
722,p53a_evt_000722,p53a_000722,722,insert_memory,cassandra,48748.971,48778.887,48792.76,48793.377,True,48809.076,1,ok,False
723,p53a_evt_000723,p53a_000723,723,insert_memory,cassandra,48809.09,48837.45,48851.839,48852.31,True,48868.211,1,ok,False
724,p53a_evt_000724,p53a_000724,724,insert_memory,cassandra,48868.223,48897.579,48912.915,48913.383,True,48927.527,1,ok,False
725,p53a_evt_000725,p53a_000725,725,insert_memory,cassandra,48927.539,48957.422,48972.286,48972.691,True,48985.509,1,ok,False
726,p53a_evt_000726,p53a_000726,726,replace_relation,cassandra,48985.52,49017.844,49032.265,49032.755,True,49048.715,1,ok,False
727,p53a_evt_000727,p53a_000727,727,insert_memory,cassandra,49048.727,49078.455,49094.294,49094.796,True,49109.529,1,ok,False
728,p53a_evt_000728,p53a_000728,728,replace_relation,cassandra,49109.54,49140.438,49155.617,49156.061,True,49172.444,1,ok,False
729,p53a_evt_000729,p53a_000729,729,insert_memory,cassandra,49172.477,49203.491,49220.584,49221.017,True,49234.75,1,ok,False
730,p53a_evt_000730,p53a_000730,730,update_relation,cassandra,49234.762,49264.724,49280.273,49280.684,True,49296.574,1,ok,False
731,p53a_evt_000731,p53a_000731,731,update_relation,cassandra,49296.597,49326.549,49342.359,49342.84,True,49358.942,1,ok,False
732,p53a_evt_000732,p53a_000732,732,replace_relation,cassandra,49358.955,49388.366,49404.011,49404.442,True,49421.293,1,ok,False
733,p53a_evt_000733,p53a_000733,733,insert_memory,cassandra,49421.314,49450.732,49466.453,49466.93,True,49482.228,1,ok,False
734,p53a_evt_000734,p53a_000734,734,insert_memory,cassandra,49482.24,49513.077,49529.369,49529.804,True,49544.788,1,ok,False
735,p53a_evt_000735,p53a_000735,735,insert_memory,cassandra,49544.799,49574.872,49594.781,49595.189,True,49608.738,1,ok,False
736,p53a_evt_000736,p53a_000736,736,update_relation,cassandra,49608.749,49636.804,49651.247,49651.697,True,49667.037,1,ok,False
737,p53a_evt_000737,p53a_000737,737,update_relation,cassandra,49667.048,49699.57,49713.52,49713.949,True,49730.791,1,ok,False
738,p53a_evt_000738,p53a_000738,738,insert_memory,cassandra,49730.802,49761.457,49775.693,49776.756,True,49791.847,1,ok,False
739,p53a_evt_000739,p53a_000739,739,insert_memory,cassandra,49791.857,49822.456,49836.365,49836.778,True,49852.045,1,ok,False
740,p53a_evt_000740,p53a_000740,740,insert_memory,cassandra,49852.055,49882.248,49898.233,49898.77,True,49913.316,1,ok,False
741,p53a_evt_000741,p53a_000741,741,insert_memory,cassandra,49913.327,49943.479,49960.083,49960.471,True,49976.963,1,ok,False
742,p53a_evt_000742,p53a_000742,742,replace_relation,cassandra,49976.975,50007.384,50021.158,50021.585,True,50036.952,1,ok,False
743,p53a_evt_000743,p53a_000743,743,update_relation,cassandra,50036.961,50068.141,50083.176,50083.664,True,50098.499,1,ok,False
744,p53a_evt_000744,p53a_000744,744,insert_memory,cassandra,50098.514,50128.346,50144.212,50144.713,True,50160.064,1,ok,False
745,p53a_evt_000745,p53a_000745,745,update_relation,cassandra,50160.077,50190.635,50206.643,50207.234,True,50222.364,1,ok,False
746,p53a_evt_000746,p53a_000746,746,replace_relation,cassandra,50222.423,50253.817,50268.856,50269.505,True,50284.131,1,ok,False
747,p53a_evt_000747,p53a_000747,747,insert_memory,cassandra,50284.149,50314.736,50329.675,50330.329,True,50346.054,1,ok,False
748,p53a_evt_000748,p53a_000748,748,update_relation,cassandra,50346.077,50376.406,50392.874,50394.144,True,50409.665,1,ok,False
749,p53a_evt_000749,p53a_000749,749,insert_memory,cassandra,50409.685,50438.541,50454.589,50455.085,True,50469.641,1,ok,False
750,p53a_evt_000750,p53a_000750,750,insert_memory,cassandra,50469.654,50500.681,50516.456,50516.966,True,50533.184,1,ok,False
751,p53a_evt_000751,p53a_000751,751,insert_memory,cassandra,50533.202,50563.486,50579.643,50580.9,True,50595.177,1,ok,False
752,p53a_evt_000752,p53a_000752,752,insert_memory,cassandra,50595.195,50625.368,50642.1,50642.557,True,50655.929,1,ok,False
753,p53a_evt_000753,p53a_000753,753,insert_memory,cassandra,50655.94,50684.901,50699.605,50700.443,True,50715.457,1,ok,False
754,p53a_evt_000754,p53a_000754,754,insert_memory,cassandra,50715.47,50745.527,50760.246,50760.82,True,50776.976,1,ok,False
755,p53a_evt_000755,p53a_000755,755,insert_memory,cassandra,50777.003,50807.395,50823.076,50823.717,True,50838.408,1,ok,False
756,p53a_evt_000756,p53a_000756,756,replace_relation,cassandra,50838.429,50869.183,50884.772,50885.367,True,50900.811,1,ok,False
757,p53a_evt_000757,p53a_000757,757,update_relation,cassandra,50900.835,50931.649,50946.839,50947.427,True,50963.341,1,ok,False
758,p53a_evt_000758,p53a_000758,758,insert_memory,cassandra,50963.362,50993.073,51008.05,51008.517,True,51024.097,1,ok,False
759,p53a_evt_000759,p53a_000759,759,insert_memory,cassandra,51024.109,51055.376,51070.684,51071.164,True,51086.507,1,ok,False
760,p53a_evt_000760,p53a_000760,760,insert_memory,cassandra,51086.525,51116.376,51131.868,51132.389,True,51147.412,1,ok,False
