memory_id,triples
conv-41_session_19_D19:13,"(maria, acknowledge, john_'s_challenges)"
conv-41_session_19_D19:14,"(john, mention, the_importance_of_having_support_at_home)"
conv-41_session_19_D19:15,"(maria, mention, the_importance_of_having_loved_ones_'_support)"
conv-41_session_19_D19:16,"(john, have, loved_ones_'_support_on_his_journey_,)"
conv-41_session_19_D19:21,"(maria, enjoy, enjoy)"
conv-41_session_19_D19:23,"(maria, share, a_special_beach_memory)"
conv-41_session_19_D19:25,"(maria, appreciate, the_joy_and_carefree_moments_of_family_vacations)"
conv-41_session_19_D19:26,"(john, appreciate, special_family_times_and_cherishes_creating_memories_together)"
conv-41_session_19_D19:3,"(maria, improve, her_endurance)"
conv-41_session_19_D19:6,"(john, promote, at_work)"
conv-41_session_19_D19:9,"(maria, admire, john_'s_trophy)"
conv-41_session_1_D1:10,"(john, focus, on_funding_schools)"
conv-41_session_1_D1:14,"(john, involve, involve)"
conv-41_session_1_D1:2,"(john, get, get)"
conv-41_session_1_D1:3,"(maria, start, aerial_yoga)"
conv-41_session_1_D1:4,"(john, do, kickboxing)"
conv-41_session_1_D1:6,"(john, aspire, aspire)"
conv-41_session_1_D1:8,"(john, revolve, revolve)"
conv-41_session_20_D20:1,"(maria, struggle, struggle)"
conv-41_session_20_D20:10,"(john, bring, joy_and_happiness)"
conv-41_session_20_D20:11,"(maria, see, see)"
conv-41_session_20_D20:13,"(maria, spread, kindness_and_positivity)"
conv-41_session_20_D20:14,"(john, encourage, maria)"
conv-41_session_20_D20:3,"(maria, give, her_words_of_encouragement)"
conv-41_session_20_D20:4,"(john, recall, recall)"
conv-41_session_20_D20:6,"(john, emphasize, the_importance_of_appreciating_loved_ones_and_finding)"
conv-41_session_20_D20:7,"(maria, volunteer, at_a_shelter)"
conv-41_session_20_D20:9,"(maria, play, with_kids)"
conv-41_session_21_D21:1,"(maria, meet, some_kids)"
conv-41_session_21_D21:15,"(maria, appreciate, kindness_and_care)"
conv-41_session_21_D21:21,"(maria, volunteer, volunteer)"
conv-41_session_21_D21:22,"(john, participate, in_a_marching_event_for_veterans_'_rights)"
conv-41_session_21_D21:24,"(john, respect, the_military)"
conv-41_session_21_D21:26,"(john, motivate, motivate)"
conv-41_session_21_D21:4,"(john, express, willingness_to_help_maria_if_she_needed_anything)"
conv-41_session_21_D21:5,"(maria, hit, hit); (maria, stay, after_a_tough_time)"
conv-41_session_21_D21:7,"(maria, leave, leave)"
conv-41_session_22_D22:1,"(john, think, about_how_education_and_infrastructure_shape_communities)"
conv-41_session_22_D22:10,"(maria, inspire, inspire)"
conv-41_session_22_D22:11,"(john, inspire, exercise_,_and_spending_time_with_friends)"
conv-41_session_22_D22:17,"(john, see, sunsets)"
conv-41_session_22_D22:18,"(maria, take, me_time_'_walks)"
conv-41_session_22_D22:2,"(maria, agree, with_john)"
conv-41_session_22_D22:3,"(john, feel, feel)"
conv-41_session_22_D22:4,"(maria, support, john)"
conv-41_session_22_D22:5,"(john, doubt, doubt)"
conv-41_session_22_D22:7,"(john, motivate, him)"
conv-41_session_22_D22:9,"(john, remember, remember)"
conv-41_session_23_D23:1,"(john, hit, last_week)"
conv-41_session_23_D23:14,"(maria, mention, mention)"
conv-41_session_23_D23:2,"(maria, empathize, with_john)"
conv-41_session_23_D23:3,"(john, take, initiative); (john, appreciate, maria_'s_offer_to_help_with_the_community)"
conv-41_session_23_D23:4,"(maria, express, her_willingness_to_join_the_meeting_and_contribute)"
conv-41_session_23_D23:6,"(maria, admire, john_'s_determination_and_commitment_to_helping_others); (maria, mention, mention)"
conv-41_session_23_D23:7,"(john, mention, mention); (john, motivate, others)"
conv-41_session_23_D23:8,"(maria, believe, believe); (maria, emphasize, the_importance_of_spreading_kindness_and_inspiring_hope)"
conv-41_session_23_D23:9,"(john, acknowledge, acknowledge)"
conv-41_session_24_D24:14,"(maria, appreciate, the_importance_of_making_connections_and_enjoying_life)"
conv-41_session_24_D24:16,"(maria, bring, joy)"
conv-41_session_24_D24:3,"(john, visit, a_veteran_'s_hospital)"
conv-41_session_24_D24:5,"(john, work, with_passionate_people)"
conv-41_session_24_D24:6,"(maria, play, games_like_charades_and_a_scavenger_hunt)"
conv-41_session_24_D24:9,"(john, set, fun_activities_like_arts_and_crafts)"
conv-41_session_25_D25:1,"(john, enjoy, his_new_job)"
conv-41_session_25_D25:11,"(john, attend, a_yoga_studio)"
conv-41_session_25_D25:13,"(john, attend, attend)"
conv-41_session_25_D25:17,"(john, do, weight_training_classes)"
conv-41_session_25_D25:2,"(maria, hike, with_her_church_friends)"
conv-41_session_25_D25:20,"(maria, bake, some_cakes)"
conv-41_session_25_D25:4,"(maria, laugh, laugh)"
conv-41_session_25_D25:8,"(maria, plan, plan)"
conv-41_session_26_D26:1,"(maria, drop, baked_goods); (maria, drive, drive)"
conv-41_session_26_D26:10,"(john, mention, his_military_background_and_the_sense_of_bond)"
conv-41_session_26_D26:11,"(john, rely, rely)"
conv-41_session_26_D26:13,"(maria, share, a_photo_from_her_volunteer_work_that_reminds)"
conv-41_session_26_D26:2,"(john, join, a_firefighting_brigade)"
conv-41_session_26_D26:4,"(john, have, his_first_call_out_with_the_firefighting_brigade)"
conv-41_session_26_D26:6,"(john, save, a_family)"
conv-41_session_27_D27:1,"(john, advocate, for_the_military)"
conv-41_session_27_D27:11,"(john, humble, humble)"
conv-41_session_27_D27:12,"(maria, remember, remember)"
conv-41_session_27_D27:14,"(maria, teach, kids_about_veterans_and_their_contributions)"
conv-41_session_27_D27:2,"(maria, start, after_which)"
conv-41_session_27_D27:4,"(maria, volunteer, at_the_homeless_shelter)"
conv-41_session_27_D27:5,"(john, admire, maria_'s_volunteer_work_at_a_homeless_shelter)"
conv-41_session_27_D27:8,"(maria, mention, cindy_,_a_resident_at_the_shelter_,)"
conv-41_session_27_D27:9,"(john, have, a_meaningful_experience)"
conv-41_session_28_D28:1,"(john, lose, his_job)"
conv-41_session_28_D28:10,"(maria, believe, in_the_importance_of_kindness_and_compassion); (maria, volunteer, rewarding_and_important)"
conv-41_session_28_D28:11,"(john, renovate, a_rundown_community_center); (john, satisfy, satisfy)"
conv-41_session_28_D28:3,"(john, lose, his_job)"
conv-41_session_28_D28:5,"(john, find, a_job)"
conv-41_session_28_D28:6,"(maria, offer, her_support_and_encouragement)"
conv-41_session_28_D28:8,"(maria, engage, in_community_work_with_friends_from_church)"
conv-41_session_29_D29:1,"(maria, volunteer, at_a_homeless_shelter)"
conv-41_session_29_D29:10,"(john, organize, organize)"
conv-41_session_29_D29:11,"(maria, support, support)"
conv-41_session_29_D29:12,"(john, come, for_important_causes_like_supporting_victims_of_domestic_abuse)"
conv-41_session_29_D29:13,"(maria, agree, on_the_importance_of_spreading_awareness_and_supporting_causes_in_the_community)"
conv-41_session_29_D29:17,"(maria, appreciate, appreciate)"
conv-41_session_29_D29:18,"(john, value, maria_'s_passion_and_motivation_in_supporting_causes)"
conv-41_session_29_D29:2,"(maria, inspire, heartwarming)"
conv-41_session_29_D29:4,"(john, organize, a_5_k_charity_run_in_the_neighborhood)"
conv-41_session_29_D29:5,"(maria, express, admiration)"
conv-41_session_29_D29:8,"(john, face, challenges_in_getting_sponsors_for_the_charity_run)"
conv-41_session_2_D2:1,"(maria, donate, her_old_car)"
conv-41_session_2_D2:10,"(john, serve, as_a_source_of_strength_and_motivation_for_him)"
conv-41_session_2_D2:16,"(john, enjoy, enjoy)"
conv-41_session_2_D2:17,"(maria, enjoy, enjoy)"
conv-41_session_2_D2:2,"(john, network, network)"
conv-41_session_2_D2:24,"(john, enjoy, pizzas)"
conv-41_session_2_D2:25,"(maria, make, peach_cobbler)"
conv-41_session_2_D2:28,"(john, practice, taekwondo)"
conv-41_session_2_D2:4,"(john, motivate, motivate)"
conv-41_session_2_D2:7,"(maria, believe, believe)"
conv-41_session_30_D30:1,"(maria, name, coco)"
conv-41_session_30_D30:10,"(john, value, nature)"
conv-41_session_30_D30:11,"(maria, acknowledge, nature)"
conv-41_session_30_D30:13,"(maria, understand, tough_times)"
conv-41_session_30_D30:16,"(john, express, express)"
conv-41_session_30_D30:18,"(john, explore, options)"
conv-41_session_30_D30:19,"(maria, suggest, to_john)"
conv-41_session_30_D30:21,"(maria, encourage, john)"
conv-41_session_30_D30:22,"(john, appreciate, maria_'s_kind_words)"
conv-41_session_30_D30:23,"(maria, plan, plan)"
conv-41_session_30_D30:3,"(maria, greet, her_puppy_,_coco_,); (maria, take, care)"
conv-41_session_30_D30:6,"(john, cherish, memories_of_his_pet_max_,_including_a); (john, find, find)"
conv-41_session_30_D30:7,"(maria, mention, mention)"
conv-41_session_31_D31:1,"(john, volunteer, as_a_mentor_for_a_local_school)"
conv-41_session_31_D31:10,"(maria, learn, commands_and_house_training)"
conv-41_session_31_D31:14,"(maria, bring, comfort_,_understanding_,_and_happiness)"
conv-41_session_31_D31:17,"(john, value, his_family)"
conv-41_session_31_D31:19,"(john, enjoy, outdoor_activities_such_as_hiking_,_picnics_,)"
conv-41_session_31_D31:2,"(maria, adopt, a_cute_pup_named_shadow)"
conv-41_session_31_D31:4,"(maria, bring, joy)"
conv-41_session_31_D31:6,"(maria, grow, grow)"
conv-41_session_31_D31:7,"(john, consider, consider)"
conv-41_session_32_D32:1,"(john, fight, fight)"
conv-41_session_32_D32:11,"(john, raise, raise)"
conv-41_session_32_D32:14,"(maria, volunteer, at_the_shelter)"
conv-41_session_32_D32:16,"(maria, spread, kindness)"
conv-41_session_32_D32:3,"(john, fight, fight)"
conv-41_session_32_D32:7,"(john, raise, donations_like_canned_food_,_toiletries_,_and)"
conv-41_session_32_D32:9,"(john, fight, fight)"
conv-41_session_3_D3:1,"(john, join, a_service_focused_online_group)"
conv-41_session_3_D3:11,"(john, fail, the_military_aptitude_test)"
conv-41_session_3_D3:12,"(maria, appreciate, nature_'s_beauty)"
conv-41_session_3_D3:14,"(maria, take, a_peaceful_sunset_picture_that_made_her_feel)"
conv-41_session_3_D3:15,"(john, use, use)"
conv-41_session_3_D3:5,"(john, participate, in_activities_with_the_online_group_such_as_giving_out_food_at_a_homeless_shelter_and_organizing_a_toy_drive_for_kids_in_need)"
conv-41_session_3_D3:7,"(john, involve, in_brainstorming_projects)"
conv-41_session_4_D4:1,"(maria, share, a_passion_for_helping_others)"
conv-41_session_4_D4:10,"(john, appreciate, the_beauty_of_sunsets)"
conv-41_session_4_D4:12,"(john, delve, into_local_politics)"
conv-41_session_4_D4:13,"(maria, take, notes_about_local_politics_in_her_notebook)"
conv-41_session_4_D4:14,"(maria, support, john_'s_community_work)"
conv-41_session_4_D4:16,"(john, prepare, for_a_community_meeting_next_week)"
conv-41_session_4_D4:18,"(john, stick, for_the_community)"
conv-41_session_4_D4:19,"(maria, work, work)"
conv-41_session_4_D4:2,"(john, experience, an_unexpected_incident)"
conv-41_session_4_D4:23,"(maria, emphasize, the_importance_of_unity_and_teamwork_for_addressing)"
conv-41_session_4_D4:24,"(john, consider, her_an_awesome_friend)"
conv-41_session_4_D4:4,"(maria, appreciate, the_importance_of_staying_strong_during_tough_times)"
conv-41_session_4_D4:6,"(john, handle, the_unexpected_incident)"
conv-41_session_4_D4:9,"(maria, appreciate, appreciate)"
conv-41_session_5_D5:1,"(john, attend, a_community_meeting_focused_on_the_state_of)"
conv-41_session_5_D5:10,"(maria, provide, comfort_and_company_,_which_made_an_impact)"
conv-41_session_5_D5:13,"(john, share, share)"
conv-41_session_5_D5:14,"(maria, spread, kindness_and_support)"
conv-41_session_5_D5:15,"(john, emphasize, the_importance_of_supporting_each_other_,_especially)"
conv-41_session_5_D5:2,"(maria, express, sadness_about_the_state_of_education_and_the)"
conv-41_session_5_D5:3,"(john, express, concern_about_the_lack_of_proper_resources_for)"
conv-41_session_5_D5:5,"(john, mention, mention)"
conv-41_session_5_D5:6,"(maria, mention, volunteering_at_a_shelter)"
conv-41_session_5_D5:8,"(maria, volunteer, volunteer)"
conv-41_session_6_D6:1,"(maria, participate, in_a_charity_event)"
conv-41_session_6_D6:10,"(john, start, start)"
conv-41_session_6_D6:12,"(john, initiate, a_community_food_drive)"
conv-41_session_6_D6:16,"(john, overwhelm, overwhelm)"
conv-41_session_6_D6:17,"(maria, offer, offer)"
conv-41_session_6_D6:18,"(john, appreciate, maria_'s_offer_to_help_with_networking_or)"
conv-41_session_6_D6:19,"(maria, express, her_willingness_to_always_be_there_to_help)"
conv-41_session_6_D6:21,"(maria, reassure, john)"
conv-41_session_6_D6:22,"(john, express, express)"
conv-41_session_6_D6:4,"(john, serve, his_country_and_community)"
conv-41_session_6_D6:5,"(maria, name, at_the_charity_event_,_who_shared_a_story_of_hardship)"
conv-41_session_6_D6:9,"(maria, rely, on_help_from_their_auntie)"
conv-41_session_7_D7:1,"(maria, take, a_creative_writing_class)"
conv-41_session_7_D7:10,"(john, believe, in_the_impact_of_kindness_and_optimism)"
conv-41_session_7_D7:16,"(john, invite, him)"
conv-41_session_7_D7:2,"(john, run, for_office)"
conv-41_session_7_D7:3,"(maria, volunteer, at_a_homeless_shelter)"
conv-41_session_7_D7:4,"(john, believe, believe)"
conv-41_session_7_D7:5,"(maria, meet, a_woman_named_jean_who_showed_her_the)"
conv-41_session_7_D7:8,"(john, see, see)"
conv-41_session_7_D7:9,"(maria, value, positivity_and_optimism)"
conv-41_session_8_D8:1,"(maria, pass, last_week)"
conv-41_session_8_D8:12,"(john, enjoy, enjoy)"
conv-41_session_8_D8:18,"(john, consider, consider)"
conv-41_session_8_D8:2,"(john, have, a_picnic_with_his_wife_and_kids)"
conv-41_session_8_D8:20,"(john, discuss, the_volunteering_opportunity_with_family_and_friends_,)"
conv-41_session_8_D8:21,"(maria, has_memory, Maria_volunteer_shelter)"
conv-41_session_8_D8:4,"(john, name, kyle)"
conv-41_session_8_D8:8,"(john, take, his_family)"
conv-41_session_9_D9:1,"(maria, take, a_poetry_class)"
conv-41_session_9_D9:10,"(john, shape, his_views_on_education_and_infrastructure_challenges)"
conv-41_session_9_D9:11,"(maria, praise, john)"
conv-41_session_9_D9:12,"(john, find, find)"
conv-41_session_9_D9:13,"(maria, satisfy, satisfy)"
conv-41_session_9_D9:14,"(john, value, maria_'s_support)"
conv-41_session_9_D9:18,"(john, reminisce, reminisce)"
conv-41_session_9_D9:3,"(maria, congratulate, john)"
conv-41_session_9_D9:4,"(john, graduate, graduate)"
conv-41_session_9_D9:6,"(john, consider, consider)"
conv-41_session_9_D9:7,"(maria, policymake, policymake)"
conv-41_session_9_D9:8,"(john, improve, education_and_infrastructure)"
conv-41_session_9_D9:9,"(maria, remember, remember)"
conv-42_session_10_D10:1,"(joanna, watch, the_lord_of_the_rings_'_trilogy_based)"
conv-42_session_10_D10:11,"(joanna, fill, fill); (nate, recommend, to_joanna)"
conv-42_session_10_D10:13,"(joanna, enjoy, enjoy)"
conv-42_session_10_D10:2,"(nate, believe, believe)"
conv-42_session_10_D10:4,"(nate, practice, a_lot_and)"
conv-42_session_10_D10:6,"(nate, play, cs_go_but_participated_in_a_local_street)"
conv-42_session_10_D10:9,"(joanna, work, on_some_projects)"
conv-42_session_11_D11:10,"(nate, acknowledge, acknowledge)"
conv-42_session_11_D11:11,"(joanna, open, a_whole_new_world); (joanna, inspire, inspire)"
conv-42_session_11_D11:13,"(joanna, write, a_whole_movie)"
conv-42_session_11_D11:14,"(nate, get, in_thought)"
conv-42_session_11_D11:15,"(joanna, inspire, inspire)"
conv-42_session_11_D11:16,"(nate, go, go)"
conv-42_session_11_D11:3,"(joanna, enjoy, enjoy)"
conv-42_session_11_D11:4,"(nate, take, take)"
conv-42_session_11_D11:6,"(nate, appreciate, the_calm_and_beauty_of_the_nature)"
conv-42_session_11_D11:7,"(joanna, take, a_photo)"
conv-42_session_11_D11:9,"(joanna, feel, in_nature)"
conv-42_session_12_D12:10,"(joanna, find, comfort)"
conv-42_session_12_D12:11,"(nate, has_memory, Nate_Joanna_writing_project)"
conv-42_session_12_D12:12,"(joanna, appreciate, her_work)"
conv-42_session_12_D12:14,"(joanna, write, at_least_three_personal_stories)"
conv-42_session_12_D12:15,"(nate, acknowledge, acknowledge)"
conv-42_session_12_D12:16,"(joanna, stem, from_personal_experiences_and_feelings)"
conv-42_session_12_D12:17,"(nate, stay, to_herself)"
conv-42_session_12_D12:18,"(joanna, value, nate_'s_support)"
conv-42_session_12_D12:19,"(nate, support, joanna)"
conv-42_session_12_D12:3,"(nate, adopt, adopt)"
conv-42_session_12_D12:7,"(nate, bring, happiness_and_joy)"
conv-42_session_13_D13:1,"(nate, name, max); (nate, meet, a_super_nice_couple)"
conv-42_session_13_D13:12,"(joanna, cherish, the_stuffed_animal)"
conv-42_session_13_D13:15,"(nate, appreciate, the_little_things)"
conv-42_session_13_D13:16,"(joanna, value, the_moments_that_bring_happiness_and_remind_her)"
conv-42_session_13_D13:18,"(joanna, reflect, on_the_tough_times)"
conv-42_session_13_D13:20,"(joanna, value, nate_'s_opinion)"
conv-42_session_13_D13:21,"(nate, express, his_support_for_her_screenplay)"
conv-42_session_13_D13:22,"(joanna, appreciate, nate_'s_support)"
conv-42_session_13_D13:7,"(nate, enjoy, enjoy)"
conv-42_session_13_D13:8,"(joanna, come, for_a_sense_of_calm_helpful_for_relaxation)"
conv-42_session_13_D13:9,"(nate, gift, a_stuffed_animal)"
conv-42_session_14_D14:1,"(joanna, finish, a_screenplay)"
conv-42_session_14_D14:19,"(joanna, plan, plan)"
conv-42_session_14_D14:20,"(nate, organize, a_gaming_party)"
conv-42_session_14_D14:3,"(joanna, appreciate, nate_'s_kind_words_and_encouragement)"
conv-42_session_14_D14:8,"(nate, win, a_regional_video_game_tournament); (nate, enjoy, enjoy)"
conv-42_session_15_D15:1,"(joanna, write, bits_for_a_screenplay_that_appeared_on_the)"
conv-42_session_15_D15:11,"(joanna, serve, as_a_reminder_of_their_love_and_encouragement)"
conv-42_session_15_D15:14,"(nate, consider, consider)"
conv-42_session_15_D15:2,"(joanna, indicate, indicate)"
conv-42_session_15_D15:3,"(joanna, find, find)"
conv-42_session_15_D15:4,"(nate, think, think)"
conv-42_session_15_D15:6,"(nate, remind, him)"
conv-42_session_15_D15:7,"(joanna, inspire, inspire)"
conv-42_session_16_D16:1,"(joanna, submit, her_screenplay)"
conv-42_session_16_D16:10,"(nate, offer, offer)"
conv-42_session_16_D16:13,"(joanna, mention, mention)"
conv-42_session_16_D16:14,"(nate, express, confidence_that_joanna_'s_family_will_love_the)"
conv-42_session_16_D16:15,"(joanna, appreciate, nate_'s_support_for_her_ice_cream_making)"
conv-42_session_16_D16:3,"(joanna, show, interest_in_nate_'s_controller_accessories)"
conv-42_session_16_D16:6,"(nate, host, a_successful_gaming_party)"
conv-42_session_16_D16:8,"(nate, share, it)"
conv-42_session_16_D16:9,"(joanna, express, excitement)"
conv-42_session_17_D17:1,"(nate, win, his_fourth_video_game_tournament)"
conv-42_session_17_D17:10,"(joanna, have, the_potential_to_be_something_awesome)"
conv-42_session_17_D17:14,"(joanna, start, start)"
conv-42_session_17_D17:18,"(joanna, mention, mention)"
conv-42_session_17_D17:2,"(joanna, take, a_road_trip_to_woodhaven_,_a_small)"
conv-42_session_17_D17:6,"(joanna, inspire, her_next_script)"
conv-42_session_18_D18:1,"(joanna, invest, invest)"
conv-42_session_18_D18:10,"(nate, try, that); (nate, share, his_dairy_free_dessert_recipe_with_joanna)"
conv-42_session_18_D18:11,"(joanna, try, nate_'s_dairy_free_desserts)"
conv-42_session_18_D18:13,"(joanna, plan, plan)"
conv-42_session_18_D18:14,"(nate, wish, wish)"
conv-42_session_18_D18:3,"(joanna, consider, it_an_escape_and_a_way_to_express)"
conv-42_session_18_D18:5,"(joanna, write, a_touching_letter)"
conv-42_session_18_D18:7,"(joanna, value, the_impact_her_writing_has_on_others); (joanna, has_memory, Joanna_Nate_support_word)"
conv-42_session_18_D18:8,"(nate, start, start)"
conv-42_session_19_D19:1,"(nate, win, an_international_tournament_in_gaming)"
conv-42_session_19_D19:10,"(joanna, enjoy, enjoy)"
conv-42_session_19_D19:12,"(joanna, emphasize, the_importance_of_taking_breaks_and_looking_after)"
conv-42_session_19_D19:13,"(nate, mention, mention)"
conv-42_session_19_D19:3,"(nate, refer, to_that)"
conv-42_session_19_D19:6,"(joanna, share, her_book)"
conv-42_session_19_D19:8,"(joanna, celebrate, achievements)"
conv-42_session_19_D19:9,"(nate, take, time)"
conv-42_session_1_D1:10,"(joanna, enjoy, reading_,_watching_movies_,_and_exploring_nature)"
conv-42_session_1_D1:11,"(nate, play, video_games)"
conv-42_session_1_D1:13,"(nate, enjoy, action_and_sci_fi_movies_for_their_cool)"
conv-42_session_1_D1:14,"(joanna, romcom, romcom)"
conv-42_session_1_D1:16,"(joanna, recommend, a_romantic_drama_movie_that_focuses_on_memory)"
conv-42_session_1_D1:18,"(joanna, watch, a_specific_movie_she_recommended_around_3_years)"
conv-42_session_1_D1:2,"(joanna, work, on_a_project)"
conv-42_session_1_D1:3,"(nate, win, his_first_video_game_tournament_playing_a_team)"
conv-42_session_20_D20:1,"(nate, experience, a_letdown_in_a_video_game_tournament); (nate, try, try); (nate, hang, with_cute_turtles)"
conv-42_session_20_D20:10,"(nate, enjoy, enjoy); (joanna, try, dairy_free_options_like_coconut_or_almond_milk); (joanna, work, for_everyone_'s_diets_,_including_dairy___free_chocolate_coconut_cupcakes_with_raspberry_frosting)"
conv-42_session_20_D20:14,"(joanna, enjoy, the_company_of_a_fellow_chef_in_the); (joanna, has_memory, Joanna_tip_dairy_baking)"
conv-42_session_20_D20:15,"(nate, offer, tips_for_dairy_free_baking_,_such_as)"
conv-42_session_20_D20:17,"(nate, bake, tips)"
conv-42_session_20_D20:4,"(joanna, revise, recipes)"
conv-42_session_20_D20:6,"(joanna, experiment, experiment)"
conv-42_session_21_D21:1,"(joanna, crash, last_week)"
conv-42_session_21_D21:10,"(nate, taste, like_the_real_thing)"
conv-42_session_21_D21:11,"(joanna, has_memory, Joanna_dairy_treat_chocolate_raspberry)"
conv-42_session_21_D21:12,"(nate, try, joanna_'s_dairy_free_chocolate_cake_with_raspberries)"
conv-42_session_21_D21:13,"(joanna, use, almond_flour_,_coconut_oil_,_chocolate_,)"
conv-42_session_21_D21:17,"(joanna, enjoy, enjoy)"
conv-42_session_21_D21:18,"(nate, express, interest_in_joanna_'s_dairy_free_dessert_with)"
conv-42_session_21_D21:3,"(joanna, use, an_external_drive)"
conv-42_session_21_D21:4,"(nate, teach, vegan_ice_cream_recipes_on_his_cooking_show)"
conv-42_session_21_D21:6,"(nate, has_memory, Nate_dish_cooking_show_coconut)"
conv-42_session_21_D21:9,"(joanna, make, a_delicious_dessert_with_almond_milk)"
conv-42_session_22_D22:1,"(joanna, try, her_newest_dairy_free_recipe)"
conv-42_session_22_D22:14,"(nate, encourage, her)"
conv-42_session_22_D22:18,"(nate, believe, believe)"
conv-42_session_22_D22:19,"(joanna, make, a_cute_little_bookmark)"
conv-42_session_22_D22:2,"(nate, win, a_really_big_video_game_tournament)"
conv-42_session_22_D22:21,"(joanna, love, diys)"
conv-42_session_22_D22:8,"(nate, watch, '_little_women_')"
conv-42_session_22_D22:9,"(joanna, finish, finish)"
conv-42_session_23_D23:1,"(nate, attend, a_game_convention)"
conv-42_session_23_D23:11,"(nate, see, playing_games)"
conv-42_session_23_D23:16,"(joanna, has_memory, Joanna_Nate_game_movie_engage)"
conv-42_session_23_D23:17,"(nate, play, the_game_cyberpunk_2077_nonstop)"
conv-42_session_23_D23:18,"(joanna, watch, a_classic_movie)"
conv-42_session_23_D23:2,"(joanna, encourage, nate)"
conv-42_session_23_D23:26,"(joanna, enjoy, enjoy)"
conv-42_session_23_D23:3,"(nate, plan, a_gaming_session)"
conv-42_session_23_D23:5,"(nate, join, join)"
conv-42_session_23_D23:6,"(joanna, appreciate, appreciate)"
conv-42_session_23_D23:7,"(nate, play, the_game_catan)"
conv-42_session_24_D24:11,"(nate, practice, for_video_game_tournaments)"
conv-42_session_24_D24:12,"(joanna, face, a_setback_another_rejection_from_a_production_company)"
conv-42_session_24_D24:14,"(joanna, remain, remain)"
conv-42_session_24_D24:2,"(joanna, revise, revise)"
conv-42_session_24_D24:3,"(nate, stress, stress); (nate, cheer, him)"
conv-42_session_24_D24:4,"(joanna, stuff, stuff)"
conv-42_session_24_D24:6,"(joanna, name, name)"
conv-42_session_25_D25:10,"(joanna, see, see); (joanna, use, as_a_tool); (joanna, see, see)"
conv-42_session_25_D25:15,"(nate, take, his_turtles)"
conv-42_session_25_D25:19,"(nate, include, vegetables_,_fruits_,_and_insects)"
conv-42_session_25_D25:2,"(joanna, contribute, contribute); (joanna, see, her_script_on_the_big_screen)"
conv-42_session_25_D25:21,"(nate, see, see)"
conv-42_session_25_D25:25,"(nate, have, different_personalities)"
conv-42_session_25_D25:27,"(nate, like, turtles)"
conv-42_session_25_D25:4,"(joanna, write, write)"
conv-42_session_25_D25:8,"(joanna, create, visuals_of_her_characters)"
conv-42_session_26_D26:1,"(joanna, set, meetings_with_movie_producers)"
conv-42_session_26_D26:11,"(joanna, work, on_a_challenging_but_fulfilling_project)"
conv-42_session_26_D26:12,"(nate, reset, their_high_scores)"
conv-42_session_26_D26:13,"(nate, game, game)"
conv-42_session_26_D26:14,"(nate, use, his_gaming_skills)"
conv-42_session_26_D26:16,"(nate, invite, joanna)"
conv-42_session_26_D26:19,"(joanna, agree, agree); (nate, come, come)"
conv-42_session_26_D26:22,"(joanna, try, try)"
conv-42_session_26_D26:3,"(joanna, discuss, her_script_and_vision_with_producers)"
conv-42_session_26_D26:4,"(nate, mention, mention)"
conv-42_session_26_D26:5,"(joanna, find, old_notebooks); (joanna, has_memory, Joanna_Nate_support_encouragement)"
conv-42_session_26_D26:7,"(joanna, include, a_story_about_a_brave_little_turtle_who)"
conv-42_session_27_D27:1,"(nate, win, a_big_valorant_tournament)"
conv-42_session_27_D27:10,"(joanna, find, happiness_and_fulfillment)"
conv-42_session_27_D27:12,"(joanna, submit, a_few_scripts)"
conv-42_session_27_D27:15,"(nate, upgrade, some_equipment)"
conv-42_session_27_D27:17,"(nate, has_memory, nate_practice_compete_computer_gaming)"
conv-42_session_27_D27:2,"(joanna, finish, a_presentation_for_producers_last_friday)"
conv-42_session_27_D27:23,"(nate, play, a_fantasy_rpg_called_""_xenoblade_chronicles)"
conv-42_session_27_D27:3,"(nate, prepare, for_other_tournaments)"
conv-42_session_27_D27:30,"(joanna, incorporate, memories_and_childhood_experiences)"
conv-42_session_27_D27:6,"(joanna, write, a_movie_script_,_a_love_story_with)"
conv-42_session_27_D27:9,"(nate, own, turtles_that_bring_joy_and_calmness_to_his)"
conv-42_session_28_D28:1,"(nate, push, push)"
conv-42_session_28_D28:12,"(joanna, work, on_a_new_project___a_suspenseful_thriller_set_in_a_small_midwestern_town)"
conv-42_session_28_D28:13,"(nate, create, gaming_content_for_youtube)"
conv-42_session_28_D28:18,"(joanna, encourage, nate)"
conv-42_session_28_D28:22,"(joanna, take, a_beautiful_sunset_picture)"
conv-42_session_28_D28:25,"(nate, enjoy, enjoy)"
conv-42_session_28_D28:28,"(joanna, express, interest)"
conv-42_session_28_D28:3,"(nate, make, it)"
conv-42_session_28_D28:5,"(nate, consider, consider)"
conv-42_session_28_D28:8,"(joanna, work, on_a_script)"
conv-42_session_29_D29:1,"(joanna, film, her_own_movie_based_on_a_road_trip)"
conv-42_session_29_D29:10,"(nate, experiment, with_flavors)"
conv-42_session_29_D29:3,"(joanna, show, her_vision)"
conv-42_session_29_D29:5,"(joanna, give, joanna_chills)"
conv-42_session_29_D29:6,"(nate, take, his_turtles)"
conv-42_session_29_D29:8,"(nate, require, require)"
conv-42_session_2_D2:12,"(nate, bring, joy)"
conv-42_session_2_D2:16,"(nate, enjoy, enjoy)"
